Date,Tweets
2022-02-26 09:20:55+00:00,b'@yoongkhean ohh interesting \xf0\x9f\xa4\x94 looking fwd to check your exp with BlueSG \xf0\x9f\x98\x86'
2022-02-26 08:57:54+00:00,b'@yoongkhean a model i hv yet to find here. between bluesg n getgo bluesg is better bcoz of the point a to b option. n u have an option for block rentals. so no need to drive like crazy. hahahha. getgo wld be a prudent choice if niat nak dok enjoy aircon in a stationary car for a few hrs. \xf0\x9f\x98\x9c'
2022-02-26 08:52:04+00:00,b'@yoongkhean been using this too bt i find charging mileage and hourly is too much lah. bt u save on petrol. bt mileage is the killer. pusing2 island \xe2\x80\x9cpostage stamp\xe2\x80\x9d ni pon can be costly. bluesg coz time sensitive everyone wld drive it like crazy. my hubb included. every second counts.  \xf0\x9f\x98\x85'
2022-02-26 08:19:27+00:00,"b'@chapree This one has both time &amp; mileage charge. Ya got damage waiver too. The other popular service, BlueSG, the electric cars only by mileage so only get charged when trip ends. Will try that next haha.'"
2022-02-25 06:45:20+00:00,b'@firdausihuzairi Kau dah ade. Bluesg kau tu kan ferrari buatkan'
2022-02-20 12:26:00+00:00,b'\xe2\x80\x9cNo wonder BlueSG cars sometimes smell bad.\xe2\x80\x9d \xe2\x80\x94 Netizens aggravated at irresponsible pet owner who put dog inside BlueSG car-sharing service vehicle - The Independent Singapore News https://t.co/ClzWSk4v5o'
2022-02-20 02:48:36+00:00,"b""@jwlltn @GrabSG I'd have suggested BlueSG but I saw that you don't have a license..."""
2022-02-18 04:54:23+00:00,b'WHY DOES BLUESG MAKE THAT VUMMM SOUND'
2022-02-13 03:37:55+00:00,"b'BlueSG driver stops on expressway, car behind stops in time, but gets rear-ended by cab - The Independent Singapore News https://t.co/H0l7TwrMry'"
2022-02-06 13:44:12+00:00,b'drove bluesg for the first time today and felt like i was gonna die'
2022-02-05 12:35:09+00:00,b'Pantang kene cocok ngan blueSG hahah'
2022-02-05 10:33:38+00:00,"b'if you get into an accident while driving bluesg, just mail your license back to TP'"
2022-02-03 12:39:54+00:00,"b'GUY COMPLAINS GRAB FARE EX, RATHER USE BLUESG\n#Singapore #umbrage #spore #uncensored\nhttps://t.co/YHM9Jza01o'"
2022-02-03 05:01:24+00:00,b'Ebike n bluesg both problematic both electric bodo elon'
2022-02-01 17:12:02+00:00,b'@itsAshiq Take bluesg mike'
