Date,Tweets
2022-02-27 16:28:33+00:00,"['people', 'w', 'biggest', 'ego', 'issues', 'ones', 'race', 'cars', 'w', 'fuckin', 'bluesgnncontext', 'sped', 'past', 'audi', 'going', 'home', 'rev', 'engine', 'proceeds', 'take', 'ainxe2x80x99t', 'bout', 'u', 'bruh', 'ixe2x80x99m', 'fighting', '033min']"
2022-02-26 12:02:00+00:00,"['Yupp', 'Convenient', 'especially', 'u', 'right', 'ur', 'block', 'My', 'block', 'bluesg', 'getgo', 'shariot', 'But', 'come', 'weekend', 'semua', 'kosong', 'Hahahaha']"
2022-02-26 09:20:55+00:00,"['ohh', 'interesting', 'xf0x9fxa4x94', 'looking', 'fwd', 'check', 'exp', 'BlueSG', 'xf0x9fx98x86']"
2022-02-26 08:57:54+00:00,"['model', 'hv', 'yet', 'find', 'bluesg', 'n', 'getgo', 'bluesg', 'better', 'bcoz', 'point', 'b', 'option', 'n', 'u', 'option', 'block', 'rentals', 'need', 'drive', 'like', 'crazy', 'hahahha', 'getgo', 'wld', 'prudent', 'choice', 'niat', 'nak', 'dok', 'enjoy', 'aircon', 'stationary', 'car', 'hrs', 'xf0x9fx98x9c']"
2022-02-26 08:52:04+00:00,"['using', 'bt', 'find', 'charging', 'mileage', 'hourly', 'much', 'lah', 'bt', 'u', 'save', 'petrol', 'bt', 'mileage', 'killer', 'pusing2', 'island', 'xe2x80x9cpostage', 'stampxe2x80x9d', 'ni', 'pon', 'costly', 'bluesg', 'coz', 'time', 'sensitive', 'everyone', 'wld', 'drive', 'like', 'crazy', 'hubb', 'included', 'every', 'second', 'counts', 'xf0x9fx98x85']"
2022-02-26 08:19:27+00:00,"['This', 'one', 'time', 'mileage', 'charge', 'Ya', 'got', 'damage', 'waiver', 'The', 'popular', 'service', 'BlueSG', 'electric', 'cars', 'mileage', 'get', 'charged', 'trip', 'ends', 'Will', 'try', 'next', 'haha']"
2022-02-25 06:45:20+00:00,"['Kau', 'dah', 'ade', 'Bluesg', 'kau', 'tu', 'kan', 'ferrari', 'buatkan']"
2022-02-20 12:26:00+00:00,"['xe2x80x9cNo', 'wonder', 'BlueSG', 'cars', 'sometimes', 'smell', 'badxe2x80x9d', 'xe2x80x94', 'Netizens', 'aggravated', 'irresponsible', 'pet', 'owner', 'put', 'dog', 'inside', 'BlueSG', 'carsharing', 'service', 'vehicle', 'The', 'Independent', 'Singapore', 'News']"
2022-02-20 02:48:36+00:00,"['Id', 'suggested', 'BlueSG', 'I', 'saw', 'dont', 'license']"
2022-02-18 04:54:23+00:00,"['WHY', 'DOES', 'BLUESG', 'MAKE', 'THAT', 'VUMMM', 'SOUND']"
